WKT,name,description
"LINESTRING (2.07846 41.2971, -3.777359962463379 37.18870162963867, 2.07846 41.2971, 1.3731199502899998 38.872898101800004, 2.07846 41.2971, -5.65556001663208 42.5890007019043, 2.07846 41.2971, -3.0282099247 34.988800048799995, 2.07846 41.2971, -3.62076 42.357601, 2.07846 41.2971, -5.8931097984313965 37.417999267578125, 2.07846 41.2971, -4.85194015503 41.7061004639, 2.07846 41.2971, 2.73881006241 39.551700592, -1.8424999713897705 50.779998779296875, 2.73881006241 39.551700592, -1.32806003094 52.8311004639, 2.73881006241 39.551700592, 8.08049964905 48.7793998718, 2.73881006241 39.551700592, 10.2395000458 47.988800048799995, 2.73881006241 39.551700592, 7.26389 49.9487, 2.73881006241 39.551700592, 0.535023 41.728185, 2.73881006241 39.551700592, -3.56264 40.471926, -2.9106099605560303 43.30110168457031, -3.56264 40.471926, -6.8213300704956055 38.891300201416016, -3.56264 40.471926, 4.48443984985 50.901401519800004, 30.5194 39.809898, 4.48443984985 50.901401519800004, 10.438611 36.075833, 4.48443984985 50.901401519800004, -3.56264 40.471926, -1.7906099557876587 43.35649871826172, -3.56264 40.471926, -8.37726 43.302101, -3.56264 40.471926, -2.3701000213623047 36.84389877319336, -3.56264 40.471926, 1.40917 42.3386, -3.56264 40.471926, -9.13592 38.7813, -16.7745 32.697899, -16.3500003815 33.0733985901, -16.7745 32.697899, -9.13592 38.7813, -25.6979007721 37.7411994934, -28.715900421142578 38.519901275634766, -31.1136 39.671501, -28.715900421142578 38.519901275634766, -31.131399154663086 39.455299377441406, -28.715900421142578 38.519901275634766, -25.6979007721 37.7411994934, -25.17060089111328 36.97140121459961, -25.6979007721 37.7411994934, -27.090799 38.761799, -28.029800415039062 39.092201232910156, -27.090799 38.761799, -28.441299 38.554298, -27.090799 38.761799, -28.175800323486328 38.66550064086914, -27.090799 38.761799, -25.6979007721 37.7411994934, -9.13592 38.7813, -3.56264 40.471926, -6.0346198081970215 43.5635986328125, -3.56264 40.471926, -1.6463299989700317 42.77000045776367, -3.56264 40.471926, -2.32223510742 42.4609534888, -3.56264 40.471926, -8.415140151977539 42.89630126953125, -3.56264 40.471926, -3.82000994682312 43.427101135253906, -3.56264 40.471926, -5.91689014435 35.726898193400004, -3.56264 40.471926, -8.62677001953125 42.2318000793457, -3.56264 40.471926, -6.060110092163086 36.744598388671875, -3.56264 40.471926, 2.73881006241 39.551700592, 4.218649864196777 39.86259841918945, 2.73881006241 39.551700592, 6.14216995239 51.6024017334, 2.73881006241 39.551700592, 11.078056 49.498699, 2.73881006241 39.551700592, -5.501989841461182 40.95209884643555, 2.73881006241 39.551700592, -2.7244699001312256 42.8828010559082, 2.73881006241 39.551700592, -0.481625 39.4893, 2.73881006241 39.551700592, -1.0415500402450562 41.66619873046875, 2.73881006241 39.551700592)",BCN <-> PMI,
"LINESTRING (139.4600067138672 -24.346099853515625, 139.34800720214844 -25.897499084472656, 142.66700744628906 -25.41309928894043, 139.34800720214844 -25.897499084472656)",BEU <-> BVI,
"LINESTRING (-6.70713 41.8578, -7.72047 41.2743)",BGC <-> VRL,
"LINESTRING (-59.4925003052 13.0746002197, -61.299999 15.547, -60.992901 14.0202, -61.299999 15.547, -59.4925003052 13.0746002197, -61.78620147705078 12.004199981689453, -59.4925003052 13.0746002197, -58.1059 6.80628, -59.4925003052 13.0746002197, -61.149945 13.156695)",BGI <-> SVD,
"LINESTRING (-108.54299926757812 45.807701110839844, -104.8069992 47.13869858, -108.54299926757812 45.807701110839844, -106.614998 48.212502, -108.54299926757812 45.807701110839844, -109.762001 48.54299927, -108.54299926757812 45.807701110839844, -105.574996948 48.094501495399996, -108.54299926757812 45.807701110839844, -104.193001 47.706902)",BIL <-> SDY,
"LINESTRING (100.74700164794922 13.681099891662598, 98.316902 8.1132, 100.74700164794922 13.681099891662598, 99.50420379638672 18.27090072631836, 100.74700164794922 13.681099891662598, 101.74299621582031 6.5199198722839355, 100.74700164794922 13.681099891662598, 104.84400177001953 11.546600341796875, 100.74700164794922 13.681099891662598, 102.319000244 12.274600029, 100.74700164794922 13.681099891662598, 99.81819915771484 17.238000869750977, 100.74700164794922 13.681099891662598, 100.06199646 9.547789573669998, 100.74700164794922 13.681099891662598, 98.962600708 18.766799926799997, 100.607002258 13.9125995636, 103.25299835205078 15.229499816894531, 100.607002258 13.9125995636, 99.88289642330001 19.952299118, 100.607002258 13.9125995636, 99.36170196533203 10.711199760437012, 100.607002258 13.9125995636, 100.392997742 6.93320989609, 100.607002258 13.9125995636, 97.97579956054688 19.301300048828125, 100.607002258 13.9125995636, 98.9861984253 8.09912014008, 100.607002258 13.9125995636, 102.783996582 16.466600418099997, 100.607002258 13.9125995636, 104.64299774169922 17.383800506591797, 100.607002258 13.9125995636, 101.72200012207031 17.43910026550293, 100.607002258 13.9125995636, 98.54509735107422 16.699899673461914, 100.607002258 13.9125995636, 100.78299713134766 18.807899475097656, 100.607002258 13.9125995636, 99.9447021484375 8.539620399475098, 100.607002258 13.9125995636, 100.27899932861328 16.782899856567383, 100.607002258 13.9125995636, 100.16500091552734 18.132200241088867, 100.607002258 13.9125995636, 103.81300354 13.410699844400002, 100.607002258 13.9125995636, 103.77400207519531 16.11680030822754, 100.607002258 13.9125995636, 104.11900329589844 17.195100784301758, 100.607002258 13.9125995636, 99.6166000366211 7.508739948272705, 100.607002258 13.9125995636, 104.870002747 15.2512998581, 100.607002258 13.9125995636, 98.58550262451172 9.777620315551758, 100.607002258 13.9125995636, 99.135597229 9.13259983063, 100.607002258 13.9125995636, 102.788002014 17.386400222800003, 100.607002258 13.9125995636, 98.962600708 18.766799926799997, 99.951499939 12.6361999512, 98.962600708 18.766799926799997, 101.00499725341797 12.679900169372559, 98.962600708 18.766799926799997)",BKK <-> CNX,
"LINESTRING (34.9739990234375 -15.679100036621094, 33.78099823 -13.7894001007)",BLZ <-> LLW,
"LINESTRING (17.941699981689453 59.354400634765625, 12.847100257873535 56.29610061645508, 17.941699981689453 59.354400634765625, 12.820199966430664 56.69110107421875, 17.941699981689453 59.354400634765625, 18.346200942993 57.662799835205, 16.250600814819336 58.586299896240234, 18.346200942993 57.662799835205, 17.941699981689453 59.354400634765625, 14.727999687194824 56.929100036621094, 17.941699981689453 59.354400634765625, 13.376197814900001 55.536305364, 17.297500610351562 44.94139862060547, 13.376197814900001 55.536305364)",BMA <-> MMX,
"LINESTRING (163.66099548339844 -19.720600128173828, 164.25599670410156 -20.546300888061523)",BMY <-> KOC,
"LINESTRING (29.4739 0.575, 30.220800399780273 1.5657199621200562)",BNC <-> BUX,
