WKT,name,description
"LINESTRING (43.025978088378906 39.654541015625, 46.127899169921875 37.347999572753906)",AJI -> ACP,231.33883114219213 mi
"LINESTRING (49.8473014831543 34.138099670410156, 48.2282981873 30.371099472)",AJK -> ABD,276.9233228001574 mi
"LINESTRING (92.6196975708 23.840599060099997, 104.959444444 25.0863888889)",AJL -> ACX,780.5391423963948 mi
"LINESTRING (44.430301666259766 -12.131699562072754, 31.544599533081055 -24.818099975585938)",AJN -> AAM,1215.412197042005 mi
"LINESTRING (19.28190040588379 65.59030151367188, 6.119699954986572 62.5625)",AJR -> AES,448.07299187172015 mi
"LINESTRING (-37.0703010559 -10.984000206, -46.960399627686 -19.563199996948)",AJU -> AAX,885.9275893551759 mi
"LINESTRING (8.000109672546387 16.965999603271484, 7.263169765472412 9.006790161132812)",AJY -> ABV,552.1638810308407 mi
"LINESTRING (108.931 32.708099, 102.35224 32.53154)",AKA -> AHJ,382.9877494211635 mi
"LINESTRING (-174.2059937 52.22029877, -176.64599609375 51.87799835205078)",AKB -> ADK,106.33792820053527 mi
"LINESTRING (-81.4669036865 41.0374984741, -79.9301986694336 40.354400634765625)",AKC -> AGC,93.31524040151452 mi
"LINESTRING (77.058601 20.698999, 77.96089935302734 27.155799865722656)",AKD -> AGR,449.7455040548097 mi
"LINESTRING (23.31399917602539 24.178699493408203, 31.611700058 22.375999450699997)",AKF -> ABS,541.0808524923948 mi
"LINESTRING (47.580501556396484 24.062700271606445, 41.6343002319 20.2961006165)",AKH -> ABT,460.83991669399114 mi
"LINESTRING (-161.231002808 60.9029006958, -152.4940033 57.75)",AKI -> ADQ,376.741632557368 mi
"LINESTRING (142.44700622558594 43.670799255371094, 125.40899658203125 58.60279846191406)",AKJ -> ADH,1261.036492333646 mi
"LINESTRING (-154.182998657 56.9387016296, -152.4940033 57.75)",AKK -> ADQ,84.30129569122809 mi
"LINESTRING (174.792007446 -37.008098602299995, 153.007995605 -27.5702991486)",AKL -> ACF,1424.9660480132418 mi
"LINESTRING (-156.6490021 58.67679977, -154.182998657 56.9387016296)",AKN -> AKK,150.51907956705597 mi
"LINESTRING (-103.222000122 40.1755981445, -102.804000854 42.0531997681)",AKO -> AIA,131.54276323492306 mi
"LINESTRING (-151.7429962 68.13359833, -152.621994019 66.5518035889)",AKP -> AET,111.76584628821836 mi
"LINESTRING (5.3010101318359375 7.246739864349365, 6.665278 6.204167)",AKR -> ABB,118.12067257284842 mi
"LINESTRING (160.682007 -8.70257, 160.948611111 -9.19138888889)",AKS -> AFT,38.364465547553614 mi
"LINESTRING (32.9879 34.590401, 33.8358001709 31.073299408)",AKT -> AAC,247.94330051688243 mi
"LINESTRING (80.291702 41.262501, 88.08580780030002 47.7498855591)",AKU -> AAT,589.6586318570415 mi
"LINESTRING (-78.14859771728516 60.818599700927734, -98.42179870605469 45.449100494384766)",AKV -> ABR,1342.5213156997856 mi
"LINESTRING (49.6772 30.7444, 48.2282981873 30.371099472)",AKW -> ABD,89.98193530037693 mi
"LINESTRING (57.206699 50.2458, 37.347301483154 45.002101898193)",AKX -> AAQ,989.5189330196923 mi
