Code,Location,Parent,Children
BHI,Bahia Blanca Argentina,AEP,N/A
BHJ,India,BOM,N/A
BHK,Uzbekistan,VKO,N/A
BHM,United States,ATL,N/A
BHO,India,DEL,N/A
BHQ,Australia,ADL,N/A
BHR,Nepal,KTM,N/A
BHS,Australia,SYD,N/A
BHU,Bhaunagar India,BOM,N/A
BHV,Pakistan,KHI,N/A
BHX,United Kingdom,DUB,N/A
BHY,China,XIY,N/A
BIA,Bastia France,ORY,N/A
BIK,Biak Indonesia,DJJ,N/A
BIL,United States,SDY,[GDV; GGW; HVR; OLF; SDY]
BIM,Alice Town Bahamas,FLL,N/A
BIN,Afghanistan,KBL,N/A
BIO,Spain,MAD,N/A
BIQ,France,ORY,N/A
BIR,Nepal,KTM,N/A
BIS,United States,MSP,N/A
BJA,Bejaia,ORY,N/A
BJB,Iran,THR,N/A
BJF,Norway,MEH,[VAW]
BJI,United States,MSP,N/A
BJL,Gambia,DSS,N/A
BJM,Burundi,NBO,N/A
BJR,Bahar Dar,ADD,N/A
BJV,Turkey,SAW,N/A
BJW,Indonesia,KOE,N/A
BJX,Mexico,MEX,N/A
BJZ,Badajoz Spain,MAD,N/A
BKB,Bikaner India,DEL,N/A
BKC,United States,DRG,N/A
BKI,balu International (BKI) is the third largest airport in Malaysia,KUL,[KUD; LDU; SDK; TWU]
BKK,Thailand,HKT,[HKT; PNH; TDX; THS; USM; VTE]
BKL,Cleveland United States,LUK,[LUK]
BKM,Malaysia,LWY,N/A
BKN,Turkmenistan,ASB,N/A
BKO,Mali,DSS,N/A
BKQ,Australia,LRE,N/A
BKS,Bengkulu Indonesia,CGK,N/A
BKW,Beckley United States,CLT,[PKB]
BKY,Congo,FMI,N/A
BKZ,Tanzania United Republic of,MWZ,N/A
BLA,Barcelona Venezuela,CCS,N/A
BLB,Balboa,BOG,N/A
BLD,United States,PGA,[GCW]
BLI,United States,SEA,N/A
BLJ,Algeria,ALG,N/A
BLL,Denmark,AMS,N/A
BLQ,Italy,MAD,[KUT; LMP]
BLR,India,DEL,[COK; GBI; HBX; IXE; IXG; TRV; VDY]
BLV,Belleville United States,VPS,N/A
BLZ,Blantyre,LLW,[LLW]
BMA,Stockholm,MMX,[AGH; GOT; HAD; KID; KLR; MMX; OER; RNB; SDL; THN; VBY; VXO]
BME,Australia,PER,[FIZ]
BMI,Bloomington United States,ORD,N/A
BMO,Myanmar,MDL,N/A
BMU,Bima Indonesia,LOP,N/A
