Code,Location,Parent,Children
HMI,China,XIY,N/A
HMO,Hermosillo Mexico,MEX,[GUB; GYM]
HMV,Sweden,KRF,[KRF]
HNA,Japan,ITM,N/A
HND,Japan,FUK,[AKJ; AOJ; AXT; CTS; FUK; HAC; HIJ; HKD; HSG; ITM; IWJ; IWK; IZO; KCZ; KKJ; KMI; KMJ; KMQ; KOJ; KUH; MBE; MSJ; NGS; NTQ; OBO; OIT; OKA; OKJ; ONJ; SHM; SYO; TAK; TKS; TOY; TTJ; UBJ; UKB; YGJ]
HNH,United States,JNU,N/A
HNL,United States,OGG,[CXI; ITO; JHM; KOA; LIH; LNY; MKK; OGG]
HNM,United States,OGG,N/A
HNS,United States,JNU,[JNU]
HNY,China,DYG,N/A
HOB,Hobbs United States,IAH,N/A
HOF,Saudi Arabia,JED,N/A
HOG,Holguin,YUL,N/A
HOI,French Polynesia,MKP,N/A
HOM,United States,ANC,N/A
HOR,Portugal,PDL,[CVU; FLW]
HOT,Hot Springs United States,DFW,N/A
HOU,Houston United States,DAL,[DAL]
HOV,Hovdebygda Norway,OSL,N/A
HOX,Myanmar,MDL,[NYW]
HPA,Lifuka Island,TBU,[TBU]
HPB,United States,SCM,[VAK]
HPG,Hongping China,WUH,N/A
HPH,Haiphong Vietnam,SGN,N/A
HPN,White Plains United States,ATL,[MVL]
HRB,Harbin China,PVG,[DTU; FYJ; HEK; JGD; JSJ; JXA; TVS; YKH]
HRE,Zimbabwe,JNB,[VFA]
HRG,Egypt,CAI,N/A
HRI,Hambantota,CMB,[BTC]
HRK,Kharkov Ukraine,KBP,N/A
HRL,Harlingen United States,IAH,N/A
HRO,Harrison United States,DFW,N/A
HSG,Japan,HND,N/A
HSL,United States,KYU,N/A
HSN,China,JJN,[YYA]
HSV,United States,ATL,N/A
HTA,Chita Russian Federation,DME,N/A
HTG,Russian Federation,NSK,N/A
HTI,Australia,SYD,N/A
HTN,China,URC,N/A
HTS,Huntington United States,CLT,N/A
HTT,China,HXD,N/A
HTY,Turkey,SAW,N/A
HUE,Ethiopia,MQX,N/A
HUH,French Polynesia,PPT,N/A
HUI,Hue Vietnam,SGN,N/A
HUN,Taiwan,TSA,N/A
HUO,Huolinguole China,TGO,N/A
HUS,United States,FAI,N/A
HUU,Peru,LIM,N/A
HUX,Mexico,MEX,N/A
HUY,United Kingdom,AMS,N/A
HUZ,China,HGH,N/A
HVB,Australia,BNE,N/A
HVD,Mongolia,ULN,N/A
HVG,Honningsvag Norway,HFT,[MEH]
HVN,United States,PHL,N/A
HVR,United States,BIL,N/A
HXD,Hilton Head Island United States,GOQ,[GOQ; HTT]
HYA,United States,ACK,N/A
HYD,India,DEL,[CDP; GWL; KLH; MYQ; NDC; PNY; RJA; SAG; TIR; VGA; VTZ]
HYG,United States,KTN,N/A
HYL,United States,KTN,N/A
HYN,China,CAN,N/A
HYS,United States,DEN,N/A
HZG,China,PVG,N/A
HZH,China,CSX,N/A
IAA,Russian Federation,KJA,N/A
IAD,United States,ATL,[OGS; PBG; SHD]
IAG,United States,FLL,N/A
IAH,United States,DFW,[BRO; BTR; HOB; HRL; LCH; LFT]
IAM,Zarzaitine Algeria,ALG,N/A
IAN,Kiana United States,ORV,[ORV]
IAO,Del Carmin Philippines,CEB,N/A
IAR,Yaroslavl Russian Federation,LED,N/A
IAS,Romania,OTP,N/A
IBA,Nigeria,LOS,N/A
IBE,Ibague Colombia,BOG,N/A
IBR,Omitami Japan,UKB,N/A
IBZ,Spain,PMI,N/A
ICI,Fiji,SUV,N/A
ICN,Seoul,KIX,[CRK; GUM; KIX; KLO; NRT; SPN; TAO; ULN; VVO; WEH; YNJ]
ICO,Philippines,MNL,N/A
ICT,nt (ICT) is a mid-sized airport in United States,ORD,N/A
IDA,United States,DEN,N/A
IDR,Indore India,DEL,N/A
IEG,Zielona Gora Poland,WAW,N/A
IEV,Kiev,MSQ,[OZH]
IFJ,Isafjorður,RKV,N/A
IFN,Isfahan Iran,THR,N/A
IFO,Ivano-Frankivsk Ukraine,KBP,N/A
IFU,Ifuru Island Maldives,DRV,N/A
IGA,Bahamas,NAS,N/A
IGD,Turkey,IST,N/A
IGR,Argentina,AEP,N/A
IGT,Ordzhonikidzevskaya Russian Federation,VKO,N/A
IGU,Foz Do Iguacu Brazil,GRU,N/A
IHR,Iran,JYR,N/A
IIL,Iran,THR,N/A
IJK,Russian Federation,SVO,N/A
IKA,Tehran,IST,[NJF; XNH]
IKE,Greenland,SAE,N/A
IKI,Japan,NGS,N/A
IKS,Russian Federation,YKS,N/A
IKT,Russian Federation,SVO,[ERG; KCK; KYZ; ODO; PYJ; UKX]
IKU,Tamchy,OVB,N/A
ILD,Spain,PMI,N/A
ILI,United States,ANC,N/A
ILM,United States,CLT,N/A
ILO,Philippines,MNL,N/A
ILP, (ILP) is a smaller airport in New Caledonia,GEA,N/A
ILQ,Peru,LIM,N/A
ILR,Nigeria,ABV,N/A
ILY,Glenegedale Scotland,GLA,[CSA]
IMF,India,GAU,N/A
IMP,Brazil,SLZ,N/A
IMT,Iron Mountain United States,MSP,N/A
INA,Russian Federation,PEX,[PEX]
INB,Belize,PLJ,N/A
INC,China,XIY,[GYU]
IND,United States,ORD,N/A
INF,Algeria,TMR,N/A
INH,Mozambique,MPM,N/A
INI,Serbia,BSL,N/A
INL,International Falls United States,MSP,N/A
INN,Austria,VIE,N/A
INV,United Kingdom,LGW,N/A
INZ,Ain Salah Algeria,ALG,N/A
IOA,Greece,ATH,N/A
IOM,Ronaldsway Isle of Man,MAN,N/A
IOQ,Greenland,AGM,N/A
IOS,Brazil,CGH,N/A
IPA,Vanuatu,TAH,[DLY]
IPC,Easter Island Chile,SCL,N/A
IPH,Ipoh Malaysia,SIN,N/A
IPI,Ipiales Colombia,BOG,N/A
IPL,United States,LAX,N/A
IPN,Ipatinga Brazil,CNF,N/A
IPT,United States,PHL,N/A
IQM,China,KRL,N/A
IQN,China,LHW,N/A
IQQ,Iquique Chile,SCL,N/A
IQT,Iquitos,LIM,N/A
IRA,Kirakira Solomon Islands,HIR,[NNB]
IRG,Australia,AUU,[CUQ]
IRI,Tanzania United Republic of,DAR,N/A
IRJ,Argentina,AEP,N/A
IRK,United States,STL,N/A
IRP,Isiro The Democratic Republic of The Congo,FKI,N/A
ISA,Australia,BNE,[DMD; JCK]
ISB,Islamabad,KHI,[CJL; GIL; KDU; KHI; PZH]
ISC,United Kingdom,LEQ,[LEQ]
ISE,Turkey,IST,N/A
ISG,Japan,OKA,N/A
ISK,Nasik India,AMD,N/A
ISP,Islip United States,MCO,N/A
IST,Turkey,ADB,[ADF; AJI; BAL; BGG; BGW; BUS; CND; DNZ; EBL; GNY; GYD; GZP; GZT; IGD; IKA; ISE; KBP; KCM; KFS; KYA; KZR; MQM; MZH; NAJ; NOP; ODS; ONQ; SJJ; SKP; SXZ; TAS; TBS; TLV; USQ; YKO]
ISU,Iraq,BGW,N/A
ITB,Itaituba Brazil,ATM,N/A
ITH, Regional Airport (ITH) is a smaller airport in United States,PHL,N/A
ITM,Japan,HND,[FKS; GAJ; HNA; KIJ; MYJ; SDJ; TJH]
ITO,United States,HNL,N/A
ITU,Iturup Island Russian Federation,UUS,N/A
IUE,Alofi,AKL,N/A
IUI,Greenland,TQA,N/A
IVC,New Zealand,CHC,N/A
IVL,Finland,HEL,N/A
IVR,Australia,BNE,N/A
IWA,Ivanovo Russian Federation,LED,N/A
IWD,Ironwood United States,ORD,N/A
IWJ,Japan,HND,N/A
IWK,aikyo Airport (IWK) is a smaller airport in Japan,HND,N/A
IXA,India,CCU,N/A
IXB,Baghdogra India,DEL,N/A
IXC,India,DEL,N/A
IXD,India,DEL,N/A
IXE,India,BLR,N/A
IXG,India,BLR,N/A
IXI,India,CCU,N/A
IXJ,India,SXR,N/A
IXL,India,DEL,N/A
IXM,India,MAA,N/A
IXP,India,DEL,N/A
IXR,Ranchi India,DEL,N/A
IXS,India,CCU,N/A
IXT,India,GAU,N/A
IXU,India,DEL,N/A
IXY,India,AMD,N/A
IXZ,India,MAA,N/A
IZA,Juiz De Fora Brazil,VCP,N/A
IZO,Japan,HND,[OKI]
IZT,Mexico,MEX,N/A
JAA,Afghanistan,FRU,N/A
JAC,United States,DEN,N/A
JAE,Jaen Peru,LIM,N/A
JAI,India,DEL,[AGR]
JAN,United States,ATL,N/A
JAR,Iran,THR,N/A
JAU,Peru,LIM,N/A
JAV,Jakobshavn,SFJ,[JEG; JUV]
JAX,United States,ATL,N/A
JBB,Jember Indonesia,SUB,N/A
JBQ,La Isabela,PAP,[PAP]
JBR,United States,STL,N/A
JCK,Australia,ISA,N/A
JDH,India,DEL,N/A
JDO,Juazeiro Do Norte Brazil,GRU,N/A
JDZ,China,SHA,N/A
JED,Jeddah,RUH,[CAI; DMM; EJH; ELQ; HBE; HOF; KRT; RUH; TUU]
JEG,Greenland,JAV,N/A
JEJ,Marshall Islands,MAJ,[MJE]
JEK,Zambia,LUN,N/A
JER,Saint Peter Channel Islands,GCI,[GCI]
JFK,New York United States,LAX,[BDA; BTV; BUF; KIN; LHR; ORH; SDQ; STI]
JFR,Greenland,GOH,N/A
JGA,India,BOM,N/A
JGD,Jiagedaqi District China,HRB,[OHE]
JGN,China,LHW,N/A
JGS,Ji'An China,HAK,N/A
JHB,Johor Bahru Malaysia,KUL,N/A
JHG,China,KMG,[KJH; KMG]
JHM,United States,HNL,N/A
JHS,Greenland,SFJ,N/A
JIA,Brazil,CGB,[AIR]
JIB,Djibouti,ADD,[ADE]
JIC,Jinchang China,LHW,N/A
JIJ,Ethiopia,ADD,[ABK; GDE]
JIK,Ikaria Island Greece,ATH,N/A
JIM,Jimma Ethiopia,ADD,N/A
JIO,Tiakur Indonesia,AMQ,N/A
JIQ,shan Airport (JIQ) is a smaller airport in China,CKG,N/A
JJD,Cruz Brazil,GRU,N/A
JJG,Jaguaruna Brazil,CGH,N/A
JJM,Meru Kenya,UAS,[UAS]
JJN,China,KMG,[HSN]
JKG,Sweden,ARN,N/A
JKH,Greece,ATH,N/A
JKL,Greece,ATH,N/A
JKR,Nepal,KTM,N/A
JLN,United States,DFW,N/A
JLR,India,DEL,N/A
JMJ,Lancang China,KMG,N/A
JMK,Mykonos Greece,ATH,N/A
JMS,United States,DVL,[DVL]
JMU,China,PEK,N/A
JNB,South Africa,CPT,[BBK; BFN; BUQ; CPT; DUR; ELS; FBM; GBE; GRJ; HDS; HLE; HRE; KIM; LVI; MGH; MPM; MQP; MSU; MUB; PHW; PLZ; PTG; PZB; RCB; SHO; SIS; UTN; UTT; VNX; WDH]
JNG,China,SHE,N/A
JNU,United States,HNS,[ELV; EXI; GST; HNH; HNS; KAE; PEC; PSG; SGY; SIT; TKE]
JNX,Naxos Cyclades Islands Greece,ATH,N/A
JNZ,China,HGH,N/A
JOE,Finland,HEL,N/A
JOG,Yogyakarta Indonesia,CGK,N/A
JOI,Joinville Brazil,GRU,N/A
JOK,Russian Federation,VKO,N/A
JOS,Nigeria,KAD,N/A
JPA,Joao Pessoa Brazil,GRU,N/A
JPR,Brazil,CGB,N/A
JQA,Greenland,UMD,[UMD]
JQE,Panama,PAC,[BFQ]
JRG,India,BBI,N/A
JRH,India,CCU,N/A
JRO,Tanzania United Republic of,DAR,N/A
JSA,India,AMD,N/A
JSH,Greece,ATH,N/A
JSI,Greece,ATH,N/A
JSJ,China,HRB,N/A
JSR,Bangladesh,DAC,N/A
JST,United States,PIT,N/A
JSU,Greenland,SFJ,N/A
JSY,Greece,ATH,N/A
JTC,Brazil,GRU,N/A
JTR,Thira,ATH,[ATH]
JTY,Greece,ATH,N/A
JUB,Sudan,EBB,[WUU]
JUH,China,SHA,N/A
JUJ,Argentina,AEP,N/A
JUK,Greenland,UMD,N/A
JUL,Peru,LIM,N/A
JUV,Greenland,JAV,[AOQ; KGQ; KHQ; NSQ; TQA]
JUZ,China,PKX,N/A
JXA,China,HRB,N/A
JYR,Iran,THR,[IHR]
JYV,Finland,HEL,[KAJ]
JZH,Song Pan China,CTU,N/A
KAC,Qamishli,DAM,N/A
KAD,Nigeria,LOS,[JOS]
KAE,United States,JNU,N/A
KAJ,Finland,JYV,N/A
KAL,United States,GAL,N/A
KAN, International (KAN) is the fourth largest airport in Nigeria,ABV,N/A
KAO,Finland,HEL,N/A
KAW,Myanmar,TVY,[MNU]
KAZ,Indonesia,MDC,N/A
KBC,United States,FAI,N/A
KBH,Kahama United Republic of Tanzania,TBO,N/A
KBL,Afghanistan,DXB,[BIN; BST; CCN; FAH; FBD; HEA; KDH; KHT; MMZ; MZR; TII; ZAJ]
KBP,Kiev,IST,[CWC; DNK; HRK; IFO; KHE; PED]
KBR,Kota Bahru Malaysia,SZB,N/A
KBU,Kotabaru Indonesia,BDJ,N/A
KBV,Thailand,DMK,N/A
KCA,China,URC,N/A
KCC,United States,WWP,N/A
KCH,Malaysia,KUL,[BTU; MKM; TGC]
KCK,Russian Federation,IKT,N/A
KCM,Turkey,IST,N/A
KCO,Izmit Turkey,TZX,N/A
KCT,Sri Lanka,DIW,[NUF; WRZ]
KCZ,Japan,HND,N/A
KDA,Kola,DSS,N/A
KDH,Afghanistan,KBL,N/A
KDI,Kendari Indonesia,UPG,N/A
KDM,Maldives,MLE,N/A
KDO,Haddhunmathi,MLE,N/A
KDU,Pakistan,ISB,N/A
KDV,Fiji,NAN,N/A
KDW,Sri Lanka,DWO,[DIW]
KEF,Iceland,CPH,N/A
KEJ,Russian Federation,VKO,N/A
KEK,United States,DLG,N/A
KEM,Finland,HEL,N/A
KEO,Cote d'Ivoire,ABJ,[MJC]
KEP,Nepal,KTM,N/A
KER,Iran,THR,N/A
KET,Myanmar,HEH,N/A
KEU,Maasai Mara Kenya,OLX,[KTJ]
KEW,Canada,ZSJ,N/A
KFS,Turkey,IST,N/A
KGA,Congo,FIH,N/A
KGC,Australia,ADL,N/A
KGD,Kaliningrad Russian Federation,LED,[GME]
KGE,Solomon Islands,HIR,N/A
KGF,Karaganda Kazakhstan,ALA,N/A
KGI,Australia,PER,N/A
KGK,United States,DLG,N/A
KGL,Rwanda,EBB,[KME]
KGP,Russian Federation,VKO,N/A
KGQ,Greenland,JUV,[UPK]
KGS,Greece,ATH,N/A
KGT,China,CTU,N/A
KGX,United States,ANV,N/A
KHD,Iran,THR,N/A
KHE,Kherson Ukraine,KBP,N/A
KHG,China,URC,[URC]
KHH,Taiwan,MZG,[MZG]
KHI,Karachi,ISB,[BHV; DBA; DEA; GWD; ISB; LHE; LYP; MJD; PJG; RYK; SKZ; TUK; UET]
KHM,Myanmar,MDL,N/A
KHN,China,PEK,N/A
KHQ,Greenland,JUV,N/A
KHS,Oman,MCT,N/A
KHT,Khost Afghanistan,KBL,N/A
KHV,Khabarovsk Russian Federation,UUS,[BQG; GDX; NLI; UUS]
KHX,Uganda,KSE,N/A
KHY,Iran,THR,N/A
KHZ,French Polynesia,PPT,[KXU]
KID,Sweden,BMA,N/A
KIE,Russian Federation,BUA,N/A
KIF,Kingfisher First Canada,YXL,[WNN]
KIH,Kish Island Iran,THR,N/A
KIJ,Japan,ITM,N/A
KIM,South Africa,JNB,N/A
KIN,Kingston,JFK,N/A
KIO,Marshall Islands,NDK,N/A
KIR,Ireland,DUB,N/A
KIS,Kenya,NBO,N/A
KIT,Greece,ATH,N/A
KIV,Moldova,OTP,N/A
KIX,Japan,ICN,[ICN]
KIY,United Republic of Tanzania,MFA,N/A
KJA,Krasnoyarsk Russian Federation,OVB,[IAA; TGP; THX]
KJH, Airport (KJH) is a smaller airport in China,JHG,N/A
KJI,Burqin China,AAT,N/A
KJT,Majalengka Indonesia,BPN,N/A
KKA,United States,SKK,N/A
KKB,United States,SYB,N/A
KKC,Thailand,DMK,N/A
KKE,New Zealand,AKL,N/A
KKH,Alaska,KWK,N/A
KKI,United States,AKI,[KWT]
KKJ,Japan,HND,N/A
KKL,United States,KLN,N/A
KKN,Norway,VDS,N/A
KKR,French Polynesia,PPT,[AXR]
KKX,Japan,ASJ,N/A
KLB,Zambia,LUN,N/A
KLF,Kaluga Russian Federation,LED,N/A
KLG,United States,ANI,[ANI]
KLH,India,HYD,N/A
KLN,United States,ADQ,[KKL]
KLO,Philippines,ICN,N/A
KLR,Sweden,BMA,N/A
KLU,Austria,VIE,N/A
KLV,Czech Republic,VKO,N/A
KLW,United States,KTN,[CGA]
KLX,Greece,SKG,N/A
KME,Rwanda,KGL,N/A
KMG,Kunming,JHG,[BSD; BZX; CGO; CWJ; DIG; FUO; HFE; JHG; JJN; JMJ; KOW; LJG; LLF; LNJ; LUM; LZO; NLH; SYM; TCZ; TYN; WNH; YBP; YIH; ZAT]
KMI,Japan,HND,N/A
KMJ,Japan,HND,N/A
KMO,United States,DLG,N/A
KMQ,Japan,HND,N/A
KMS,Ghana,ACC,[ACC]
KMU,Kismayu Somalia,MGQ,N/A
KMV,Kalemyo Myanmar,MDL,N/A
KMY,United States,ALZ,[KOY]
KND,Congo,FIH,[FKI]
KNG,Indonesia,SOQ,N/A
KNH,Chinmen Taiwan,TSA,[RMQ; TSA]
KNO,Indonesia,CGK,[AEG; FLZ; GNS; LSW; MEQ; TXE]
KNQ,New Caledonia,GEA,N/A
KNS,Australia,MEB,[MEB]
KNU,India,BOM,N/A
KNW,United States,DLG,N/A
KNX,Australia,DRW,N/A
KOA,United States,HNL,N/A
KOE,Kupang Indonesia,SUB,[ABU; ARD; BJW; ENE; LKA; LWE; MOF; RTG; RTI; WGP]
KOI,United Kingdom,ABZ,N/A
KOJ,Japan,HND,[ASJ; KUM; OKE; TKN; TNE]
KOK,Finland,HEL,N/A
KOM,Papua New Guinea,POM,N/A
KOP,Thailand,DMK,N/A
KOS,Cambodia,PNH,N/A
KOT,United States,EMK,N/A
KOV,Kazakhstan,ALA,N/A
KOW,China,KMG,N/A
KOY,United States,KMY,N/A
KOZ,United States,ADQ,N/A
KPB,United States,PPV,N/A
KPN,United States,BET,[CYF]
KPO,South Korea,CJU,N/A
KPW,Russian Federation,GDX,N/A
KPY,United States,UGI,N/A
KQH,Kishangarh India,DEL,N/A
KQT,Kurgon-Tyube,CRZ,N/A
KRB,Australia,NTN,N/A
KRC,Indonesia,BUU,N/A
KRF,Sweden,HMV,[HMV]
KRK,Krakow,WAW,N/A
KRL,China,URC,[IQM; RQA; SHF]
KRN,Sweden,ARN,N/A
KRO,Russian Federation,VKO,N/A
KRP,Denmark,CPH,N/A
KRR,Krasnodar Russian Federation,SVO,N/A
KRS,Norway,BGO,N/A
KRT,Sudan,JED,[EBD; EGN; ELF; KSL; PZU; RSS; UYL]
KRW,Krasnovodsk,ASB,N/A
KRY,China,URC,N/A
KSA,Kosrae Caroline Islands,KWA,N/A
KSC,Slovakia,PRG,N/A
KSD,Sweden,ARN,N/A
KSE,Uganda,EBB,[KHX]
KSF,Germany,GWT,N/A
KSH,Bakhtaran Iran,THR,N/A
KSJ,Greece,AOK,N/A
KSL,Sudan,KRT,N/A
KSM,St,MOU,[MOU; SXP]
KSN,Kazakhstan,TSE,N/A
KSO,Kastoria Greece,ATH,[KZI]
KSQ,Uzbekistan,DME,N/A
KSR,Sulawesi Island Indonesia,UPG,N/A
KSU,Norway,BGO,N/A
KSY,Turkey,SAW,N/A
KSZ,Russian Federation,ARH,N/A
KTA,Australia,PER,N/A
KTB,United States,KTN,[KTN]
KTE,Malaysia,SZB,N/A
KTG,Ketapang Indonesia,PNK,N/A
KTJ,Maasai Mara Kenya,KEU,[HKR]
KTL,Kenya,WIL,N/A
KTM,Kathmandu,PKR,[BDP; BHR; BIR; BWA; DHI; JKR; KEP; LUA; PKR; RJB; SIF; SKH; TMI]
KTN,United States,KTB,[EDA; HYG; HYL; KLW; KTB; KWF; MTM; PPV; WHD; WRG]
KTP,Kingston,MBJ,N/A
KTR,Katherine Australia,DRW,N/A
KTS,United States,OME,[TLA]
KTT,Finland,HEL,N/A
KTW,Katowice,DTM,[DSA; DTM]
KUA,Malaysia,KUL,N/A
KUD,Malaysia,BKI,N/A
KUF,Samara Russian Federation,SVO,N/A
KUG,Australia,HID,[BDD]
KUH,Japan,HND,N/A
KUK,United States,NUP,N/A
KUL,Malaysia,SIN,[BKI; BWN; HHQ; JHB; KCH; KUA; LBU; LGK; MYY; PEN; SBW; SIN]
KUM,Japan,KOJ,N/A
KUN,Lithuania,LTN,N/A
KUO,Finland,HEL,N/A
KUS,Greenland,AGM,[AGM]
KUT,Georgia,BLQ,N/A
KUU,Kulu India,DEL,N/A
KUV,South Korea,CJU,N/A
KUZ,Greenland,AGM,N/A
KVA,Kavala Greece,ATH,N/A
KVD,Ganja International,VKO,N/A
KVG,Papua New Guinea,RAB,[MAS]
KVK,Russian Federation,LED,N/A
KVL,United States,OTZ,N/A
KVR,Russian Federation,VVO,N/A
KVX,Kirov Russian Federation,VKO,N/A
KWA,Marshall Islands,MAJ,[AIC; ENT; KSA; LML; MAJ; WJA]
KWB,Karimunjawa Indonesia,SRG,N/A
KWE,Guiyang China,PEK,[ACX; BFJ; GYS; LLB; LPF; WMT; WXN; XUZ]
KWF,United States,KTN,N/A
KWI,Kuwait,DXB,[AAN; ATZ; DOH; DXB; HMB]
KWJ,Kwangju South Korea,CJU,N/A
KWK,United States,BET,[KKH]
KWL,Guilin China,PVG,[AQG]
KWM,Australia,CNS,N/A
KWN,United States,EEK,[TOG]
KWT,United States,KKI,N/A
KXF,Fiji,SUV,N/A
KXK,Komsomolsk-on-Amur Russia,UUS,N/A
KXU,French Polynesia,KHZ,N/A
KYA,Turkey,IST,N/A
KYP,Myanmar,AKY,[MGU]
KYU,United States,GAL,[HSL]
KYZ,Russian Federation,IKT,N/A
KZI,Kozani Greece,KSO,N/A
KZN,Russian Federation,SVO,N/A
KZO,Kazakhstan,TSE,N/A
KZR,Kutahya Turkey,IST,N/A
KZS,Greece,RHO,N/A
LAD,Angola,LIS,[CAB; CBT; DUE; LUO; MSZ; NOV; SDD; SVP; SZA; VHC; VPE]
LAE,Papua New Guinea,POM,[HKN; POM]
LAH,Labuha Indonesia,TTE,N/A
LAJ,Brazil,CWB,N/A
LAK,Canada,YEV,[YEV]
LAN,Lansing United States,ORD,N/A
LAO,Philippines,MNL,N/A
LAP,La Paz Mexico,MEX,N/A
LAR,United States,DEN,N/A
LAS,Las Vegas United States,LAX,[RNO; SMX]
LAU,Kenya,WIL,N/A
LAW,United States,DFW,N/A
LAX,United States,SFO,[DEN; DFW; FAT; IPL; JFK; LAS; MCE; MMH; SCK; SFO; SJC; SMF; STS]
LBA,United Kingdom,DUB,N/A
LBB,United States,DFW,N/A
LBD,Tajikistan,ZIA,[ZIA]
LBE,Latrobe United States,MCO,N/A
LBF,United States,DEN,N/A
LBJ,Indonesia,DPS,N/A
LBL,United States,DEN,N/A
LBP,Malaysia,MUR,N/A
LBR,Brazil,MAO,N/A
LBS,Lambasa,SUV,N/A
LBU,Malaysia,KUL,N/A
LBV,Gabon,POG,[MVB; POG]
LCA,Cyprus,ATH,N/A
LCE,La Ceiba,RTB,[UII]
LCG,La Coruna Spain,MAD,N/A
LCH,United States,IAH,N/A
LCJ,Lodz Poland,STN,N/A
LCK,Columbus United States,PGD,N/A
LCX,China,NKG,N/A
LCY,London United Kingdom,AMS,[ANR; RTM]
LDB,Brazil,CGH,N/A
LDE,Tarbes France,ORY,N/A
LDH,Australia,SYD,N/A
LDS,China,SHE,N/A
LDU,Malaysia,BKI,N/A
LDY,on (LDY) is a smaller airport in United Kingdom,SEN,[SEN]
LDZ,South Africa,ASS,[SZK; ULX]
LEA,Australia,PER,N/A
LEB,United States,BOS,N/A
LEC,Lencois Brazil,SSA,N/A
LED,Russian Federation,SVO,[BZK; DME; IAR; IWA; KGD; KLF; KVK; SVO; VKO]
LEI,Spain,MAD,N/A
LEJ,Germany,FRA,N/A
LEN,Spain,BCN,N/A
LEQ,St Just United Kingdom,ISC,[ISC]
LER,Australia,PER,N/A
LET,Leticia Colombia,BOG,N/A
LEX,United States,ORD,N/A
LFM,Iran,THR,N/A
LFQ,China,HET,N/A
LFR,Venezuela,CCS,N/A
LFT,United States,IAH,N/A
LFW,(LFW) is the largest airport in Togo,ABJ,N/A
LGA,New York United States,ORD,[ATL; ORD; PIT]
LGB,United States,SLC,N/A
LGG,Belgium,ALC,N/A
LGI,Bahamas,NAS,N/A
LGK,Malaysia,KUL,N/A
LGL,Long Datih Malaysia,MUR,N/A
LGP,Legazpi Philippines,MNL,N/A
LGQ,Ecuador,UIO,N/A
LGW,London,BCN,[AGP; ALC; BFS; FAO; INV; PFO; PVK; RMU]
LHE,Lahore,KHI,N/A
LHG,Australia,WGE,[WGE]
LHR,London,JFK,[ABZ; AMS; BHD; DUB; EDI; GIB; GVA; NQY; ORK; SIR; SNN; ZRH]
LHW,Zhongchuan China,URC,[DNH; IQN; JGN; JIC; LNL; YZY]
LIF,New Caledonia,GEA,[GEA]
LIG,Limoges France,ORY,N/A
LIH,United States,HNL,N/A
LIK,Marshall Islands,MAJ,N/A
LIL,Lille France,BOD,N/A
LIM,Lima,CUZ,[AQP; AYP; AYX; CHH; CIX; CJA; CUZ; HUU; ILQ; IQT; JAE; JAU; JUL; PCL; PEM; PIU; TBP; TCQ; TGI; TPP; TRU; TYL]
LIN,Milan,FCO,[FCO; NAP; PEG]
LIO,Costa Rica,SJO,N/A
LIR,Liberia,SJO,[ECI; FON]
LIS,Lisbon,MAD,[FNC; LAD; PDL]
LIT,Little Rock United States,DFW,N/A
LIW,Myanmar,RGN,N/A
LIX,Malawi,ZZU,N/A
LJG,China,KMG,N/A
LJU,Slovenia,FRA,N/A
LKA,Indonesia,KOE,N/A
LKB,Fiji,SUV,N/A
LKE,Seattle United States,FBS,[FBS]
LKH,Malaysia,MUR,N/A
LKL,Norway,TOS,N/A
LKN,Norway,BOO,N/A
LKO,India,DEL,N/A
LKY,United Republic of Tanzania,SEU,[ARK]
LLA,Lulea Sweden,ARN,[PJA]
LLB,China,KWE,N/A
LLF,Yongzhou China,KMG,N/A
LLI,Lalibela Ethiopia,ADD,N/A
LLJ,Lubuklinggau Indonesia,CGK,N/A
LLK,Azerbaijan,VKO,N/A
LLM,Malaysia,HIR,N/A
LLO,Palopo Indonesia,UPG,N/A
LLV,China,PEK,N/A
LLW,Lilongwe,BLZ,[BLZ; CMK; ZZU]
LMA,humina (LMA) is a smaller airport in United States,FAI,N/A
LMC,Colombia,BOG,N/A
LML,Marshall Islands,KWA,[UJE]
LMM,Los Mochis Mexico,MEX,N/A
LMN,Malaysia,MYY,N/A
LMP,Italy,BLQ,N/A
LMU,Bukit Padi Indonesia,BTH,N/A
LNB,Vanuatu,VLI,N/A
LNE,Vanuatu,VLI,N/A
LNJ,China,KMG,N/A
LNK,United States,ORD,N/A
LNL,Longan China,LHW,N/A
LNO,Australia,PER,[LVO]
LNS,United States,PIT,N/A
LNV,Papua New Guinea,RAB,N/A
LNY,United States,HNL,N/A
LNZ,Linz,FRA,N/A
LOD,Vanuatu,SON,N/A
LOE,Thailand,DMK,N/A
LOH,Loja Ecuador,UIO,N/A
LOK,Kenya,EDL,N/A
LOO,Algeria,ALG,N/A
LOP,Praya Indonesia,DPS,[BMU; SWQ]
LOS,Nigeria,ABV,[ABB; ABV; AKR; BNI; ENU; IBA; KAD; PHC; QOW; QRW; QUO]
LPA,Spain,TFN,[ACE; FUE; TFN; TFS]
LPB,La Paz,VVI,[CIJ; RBQ; UYU; VVI]
LPF,China,KWE,N/A
LPI,Linkoping Sweden,AMS,N/A
LPK,Russian Federation,DME,N/A
LPL,United Kingdom,BFS,N/A
LPM,Vanuatu,NUS,N/A
LPP,Finland,SXF,N/A
LPQ,Laos,VTE,N/A
LPT,Thailand,DMK,N/A
LPX,Latvia,RIX,N/A
LPY,Le Puy France,ORY,N/A
